CODIGO_BARRIO,CODIGO_MANZANA,CODIGO_PREDIO,CODIGO_CONSTRUCCION,CODIGO_RESTO,CODIGO_DESTINO,AREA_USO
001101,02,61,001,01001,01,55
001101,02,61,002,01001,01,55
001101,02,61,003,01001,01,55
001101,02,61,004,01001,01,55
001101,02,61,005,01001,01,55
001101,02,61,006,01001,01,55
001101,02,61,007,01001,01,55
001101,02,61,008,01001,01,55
001101,02,61,009,01001,01,55
001101,02,61,010,01001,01,55
001101,02,61,011,01001,01,55
001101,02,61,012,01001,01,55
001101,02,61,013,01001,01,55
001101,02,61,014,01001,01,55
001101,02,61,015,01001,01,55
001101,02,61,016,01001,01,55
001101,02,61,017,01001,01,55
001101,02,61,018,01001,01,55
001101,02,61,019,01001,01,55
001101,02,61,020,01001,01,55
001101,02,61,021,01001,01,55
001101,02,61,022,01001,01,55
001101,02,61,023,01001,01,55
001101,02,61,025,01001,01,55
001101,02,61,026,01001,01,55
001101,02,61,027,01001,01,55
001101,02,61,028,01001,01,55
001101,02,61,029,01001,01,55
001101,02,61,030,01001,01,55
001101,02,61,031,01001,01,55
001101,02,61,032,01001,01,55
001101,02,61,033,01001,01,55
001101,02,61,034,01001,01,55
001101,02,61,035,01001,01,55
001101,02,61,036,01001,01,55
001101,02,61,037,01001,01,55
001101,02,61,038,01001,01,55
001101,02,61,039,01001,01,55
001101,02,61,040,01001,01,55
001101,02,61,041,01001,01,55
001101,06,45,001,01001,01,52.87
001101,06,45,001,01002,01,46.23
001101,06,45,001,01003,01,46.23
001101,06,45,001,01004,01,41.09
001101,06,45,001,02001,01,45.77
001101,06,45,001,02002,01,46.23
001101,06,45,001,02003,01,46.23
001101,06,45,001,02004,01,46.23
001101,06,45,001,03001,01,45.77
001101,06,45,001,03002,01,46.23
001101,06,45,001,03003,01,46.23
001101,06,45,001,03004,01,46.23
001101,06,45,001,04001,01,45.77
001101,06,45,001,04002,01,46.23
001101,06,45,001,04003,01,46.23
001101,06,45,001,04004,01,46.23
001101,06,45,001,05001,01,45.77
001101,06,45,001,05002,01,46.23
001101,06,45,001,05003,01,46.23
001101,06,45,001,05004,01,46.23
001101,06,45,001,06001,01,45.77
001101,06,45,001,06002,01,46.23
001101,06,45,001,06003,01,46.23
001101,06,45,001,06004,01,46.23
001101,06,45,002,01001,01,42.34
001101,06,45,002,01002,01,47.48
001101,06,45,002,01003,01,47.48
001101,06,45,002,01004,01,53.75
001101,06,45,002,02001,01,47.48
001101,06,45,002,02002,01,47.48
001101,06,45,002,02003,01,47.48
001101,06,45,002,02004,01,47.01
001101,06,45,002,03001,01,47.48
001101,06,45,002,03002,01,47.48
001101,06,45,002,03003,01,47.48
001101,06,45,002,03004,01,47.01
001101,06,45,002,04001,01,47.48
001101,06,45,002,04002,01,47.48
001101,06,45,002,04003,01,47.48
001101,06,45,002,04004,01,47.01
001101,06,45,002,05001,01,47.48
001101,06,45,002,05002,01,47.48
001101,06,45,002,05003,01,47.48
001101,06,45,002,05004,01,47.01
001101,06,45,002,06001,01,47.48
001101,06,45,002,06002,01,47.48
001101,06,45,002,06003,01,47.48
001101,06,45,002,06004,01,47.01
001101,06,45,003,01001,01,42.34
001101,06,45,003,01002,01,47.48
001101,06,45,003,01003,01,47.48
001101,06,45,003,01004,01,47.01
001101,06,45,003,02001,01,47.48
001101,06,45,003,02002,01,47.48
001101,06,45,003,02003,01,47.48
001101,06,45,003,02004,01,47.01
001101,06,45,003,03001,01,47.48
001101,06,45,003,03002,01,47.48
001101,06,45,003,03003,01,47.48
001101,06,45,003,03004,01,47.01
001101,06,45,003,04001,01,47.48
001101,06,45,003,04002,01,47.48
001101,06,45,003,04003,01,47.48
001101,06,45,003,04004,01,47.01
001101,06,45,003,05001,01,47.48
001101,06,45,003,05002,01,47.48
001101,06,45,003,05003,01,47.48
001101,06,45,003,05004,01,47.01
001101,06,45,003,06001,01,47.48
001101,06,45,003,06002,01,47.48
001101,06,45,003,06003,01,47.48
001101,06,45,003,06004,01,47.01
001101,06,45,004,01001,01,45.77
001101,06,45,004,01002,01,46.23
001101,06,45,004,01003,01,46.23
001101,06,45,004,01004,01,41.09
001101,06,45,004,02001,01,45.77
001101,06,45,004,02002,01,46.23
001101,06,45,004,02003,01,46.23
001101,06,45,004,02004,01,46.23
001101,06,45,004,03001,01,45.77
001101,06,45,004,03002,01,46.23
001101,06,45,004,03003,01,46.23
001101,06,45,004,03004,01,46.23
001101,06,45,004,04001,01,45.77
001101,06,45,004,04002,01,46.23
001101,06,45,004,04003,01,46.23
001101,06,45,004,04004,01,46.23
001101,06,45,004,05001,01,45.77
001101,06,45,004,05002,01,46.23
001101,06,45,004,05003,01,46.23
001101,06,45,004,05004,01,46.23
001101,06,45,004,06001,01,45.77
001101,06,45,004,06002,01,46.23
001101,06,45,004,06003,01,46.23
001101,06,45,004,06004,01,46.23
001101,06,45,005,01001,23,10.54
001101,06,45,005,01002,23,17.99
001101,09,01,001,01001,01,50.1
001101,09,01,001,01002,01,50.1
001101,09,01,001,01003,01,50.1
001101,09,01,001,01004,01,36.6
001101,09,01,001,02001,01,50.1
001101,09,01,001,02002,01,50.1
001101,09,01,001,02003,01,50.1
001101,09,01,001,02004,01,50.1
001101,09,01,001,03001,01,50.1
001101,09,01,001,03002,01,50.1
001101,09,01,001,03003,01,50.1
001101,09,01,001,03004,01,50.1
001101,09,01,001,04001,01,50.1
001101,09,01,001,04002,01,50.1
001101,09,01,001,04003,01,50.1
001101,09,01,001,04004,01,50.1
001101,09,01,001,05001,01,50.1
001101,09,01,001,05002,01,50.1
001101,09,01,001,05003,01,50.1
001101,09,01,001,05004,01,50.1
001101,09,01,002,01001,01,50.1
001101,09,01,002,01002,01,50.1
001101,09,01,002,01003,01,50.1
001101,09,01,002,01004,01,36.6
001101,09,01,002,02001,01,50.1
001101,09,01,002,02002,01,50.1
001101,09,01,002,02003,01,50.1
001101,09,01,002,02004,01,50.1
001101,09,01,002,03001,01,50.1
001101,09,01,002,03002,01,50.1
001101,09,01,002,03003,01,50.1
001101,09,01,002,03004,01,50.1
001101,09,01,002,04001,01,50.1
001101,09,01,002,04002,01,50.1
001101,09,01,002,04003,01,50.1
001101,09,01,002,04004,01,50.1
001101,09,01,002,05001,01,50.1
001101,09,01,002,05002,01,50.1
001101,09,01,002,05003,01,50.1
001101,09,01,002,05004,01,50.1
001101,09,01,003,01001,01,50.1
001101,09,01,003,01002,01,50.1
001101,09,01,003,01003,01,50.1
001101,09,01,003,01004,01,36.6
001101,09,01,003,02001,01,50.1
001101,09,01,003,02002,01,50.1
001101,09,01,003,02003,01,50.1
001101,09,01,003,02004,01,50.1
001101,09,01,003,03001,01,50.1
001101,09,01,003,03002,01,50.1
001101,09,01,003,03003,01,50.1
001101,09,01,003,03004,01,50.1
001101,09,01,003,04001,01,50.1
001101,09,01,003,04002,01,50.1
001101,09,01,003,04003,01,50.1
001101,09,01,003,04004,01,50.1
001101,09,01,003,05001,01,50.1
001101,09,01,003,05002,01,50.1
001101,09,01,003,05003,01,50.1
001101,09,01,003,05004,01,50.1
001101,09,01,004,01001,01,50.1
001101,09,01,004,01002,01,50.1
001101,09,01,004,01003,01,50.1
001101,09,01,004,01004,01,36.6
001101,09,01,004,02001,01,50.1
001101,09,01,004,02002,01,50.1
001101,09,01,004,02003,01,50.1
001101,09,01,004,02004,01,50.1
001101,09,01,004,03001,01,50.1
001101,09,01,004,03002,01,50.1
001101,09,01,004,03003,01,50.1
001101,09,01,004,03004,01,50.1
001101,09,01,004,04001,01,50.1
001101,09,01,004,04002,01,50.1
001101,09,01,004,04003,01,50.1
001101,09,01,004,04004,01,50.1
001101,09,01,004,05001,01,50.1
001101,09,01,004,05002,01,50.1
001101,09,01,004,05003,01,50.1
001101,09,01,004,05004,01,50.1
001101,09,01,005,01001,01,36.6
001101,09,01,005,01002,01,50.1
001101,09,01,005,01003,01,50.1
001101,09,01,005,01004,01,50.1
001101,09,01,005,02001,01,50.1
001101,09,01,005,02002,01,50.1
001101,09,01,005,02003,01,50.1
001101,09,01,005,02004,01,50.1
001101,09,01,005,03001,01,50.1
001101,09,01,005,03002,01,50.1
001101,09,01,005,03003,01,50.1
001101,09,01,005,03004,01,50.1
001101,09,01,005,04001,01,50.1
001101,09,01,005,04002,01,50.1
001101,09,01,005,04003,01,50.1
001101,09,01,005,04004,01,50.1
001101,09,01,005,05001,01,50.1
001101,09,01,005,05002,01,50.1
001101,09,01,005,05003,01,50.1
001101,09,01,005,05004,01,50.1
001101,09,01,006,01001,01,36.6
001101,09,01,006,01002,01,50.1
001101,09,01,006,01003,01,50.1
001101,09,01,006,01004,01,50.1
001101,09,01,006,02001,01,50.1
001101,09,01,006,02002,01,50.1
001101,09,01,006,02003,01,50.1
001101,09,01,006,02004,01,50.1
001101,09,01,006,03001,01,50.1
001101,09,01,006,03002,01,50.1
001101,09,01,006,03003,01,50.1
001101,09,01,006,03004,01,50.1
001101,09,01,006,04001,01,50.1
001101,09,01,006,04002,01,50.1
001101,09,01,006,04003,01,50.1
001101,09,01,006,04004,01,50.1
001101,09,01,006,05001,01,50.1
